LineId,Month,Day,Time,User,Compoent,Content,EventId,EventTemplate,ParameterList
156,Jun,2,10:16:07,localhost,NetworkManager[570], <info>    gateway 192.168.124.2,E20,<info> gateway <*>,"[' <info>', '192.168.124.2']"
157,Jun,2,10:16:07,localhost,NetworkManager[570], <info>    server identifier 192.168.124.254,E21,<info> server identifier <*>,"[' <info>', '192.168.124.254']"
158,Jun,2,10:16:07,localhost,NetworkManager[570], <info>    lease time 1800,E22,<info> lease time 1800,[' <info>']
159,Jun,2,10:16:07,localhost,NetworkManager[570], <info>    nameserver '192.168.124.2',E23,<info> nameserver '<*>',"[' <info>', '192.168.124.2']"
160,Jun,2,10:16:07,localhost,NetworkManager[570], <info>    domain name 'localdomain',E24,<info> domain name 'localdomain',[' <info>']
161,Jun,2,10:16:07,localhost,dbus[583], [system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service',E9,[system] Activating via systemd: service <*> <*>,[]
162,Jun,2,10:16:07,localhost,dhclient[741], bound to 192.168.124.130 -- renewal in 726 seconds.,E25,bound to <*> -- renewal in <*> seconds.,[]
163,Jun,2,10:16:07,localhost,dbus[583], [system] Successfully activated service 'org.freedesktop.nm_dispatcher',E10,[system] Successfully activated service <*>,[]
164,Jun,2,10:16:07,localhost,nm-dispatcher, Dispatching action 'dhcp4-change' for eno16777984,E26,Dispatching action <*> for eno16777984,[]
165,Jun,2,10:19:32,localhost,rtkit-daemon[563], Successfully made thread 4110 of process 4110 (/usr/bin/caja) owned by '1000' high priority at nice level -11.,E37,Successfully made thread <*> of process <*> <*> owned by '1000' high priority at nice level -11.,[]
166,Jun,2,10:19:37,localhost,rtkit-daemon[563], Successfully made thread 4138 of process 4138 (/usr/bin/caja) owned by '1000' high priority at nice level -11.,E37,Successfully made thread <*> of process <*> <*> owned by '1000' high priority at nice level -11.,[]
167,Jun,2,10:19:47,localhost,rtkit-daemon[563], Successfully made thread 4158 of process 4158 (/usr/bin/caja) owned by '1000' high priority at nice level -11.,E37,Successfully made thread <*> of process <*> <*> owned by '1000' high priority at nice level -11.,[]
168,Jun,2,10:20:25,localhost,systemd-coredump, Process 1191 (caja) of user 1000 dumped core.,E38,Process <*> (caja) of user 1000 dumped core.,[]
169,Jun,2,10:27:02,localhost,rtkit-daemon[563], Successfully made thread 4303 of process 4303 (/usr/bin/caja) owned by '1000' high priority at nice level -11.,E37,Successfully made thread <*> of process <*> <*> owned by '1000' high priority at nice level -11.,[]
170,Jun,2,10:27:51,localhost,systemd-coredump, Process 4138 (caja) of user 1000 dumped core.,E38,Process <*> (caja) of user 1000 dumped core.,[]
171,Jun,2,10:28:13,localhost,dhclient[741], DHCPREQUEST on eno16777984 to 192.168.124.254 port 67 (xid=0xc146ae0),E15,DHCPREQUEST on eno16777984 to <*> port 67 <*>,[]
172,Jun,2,10:28:13,localhost,dhclient[741], DHCPACK from 192.168.124.254 (xid=0xc146ae0),E16,DHCPACK from <*> <*>,[]
173,Jun,2,10:28:13,localhost,NetworkManager[570], <info>  (eno16777984): DHCPv4 state changed renew -> renew,E17,<info> (eno16777984): DHCPv4 state changed <*> -> <*>,"[' <info>', 'renew', '-> renew']"
174,Jun,2,10:28:13,localhost,NetworkManager[570], <info>    address 192.168.124.130,E18,<info> address <*>,"[' <info>', '192.168.124.130']"
175,Jun,2,10:28:13,localhost,NetworkManager[570], <info>    plen 24 (255.255.255.0),E19,<info> plen 24 (<*>),"[' <info>', '255.255.255.0']"
176,Jun,2,10:28:13,localhost,NetworkManager[570], <info>    gateway 192.168.124.2,E20,<info> gateway <*>,"[' <info>', '192.168.124.2']"
177,Jun,2,10:28:13,localhost,NetworkManager[570], <info>    server identifier 192.168.124.254,E21,<info> server identifier <*>,"[' <info>', '192.168.124.254']"
178,Jun,2,10:28:13,localhost,NetworkManager[570], <info>    lease time 1800,E22,<info> lease time 1800,[' <info>']
179,Jun,2,10:28:13,localhost,NetworkManager[570], <info>    nameserver '192.168.124.2',E23,<info> nameserver '<*>',"[' <info>', '192.168.124.2']"
180,Jun,2,10:28:13,localhost,NetworkManager[570], <info>    domain name 'localdomain',E24,<info> domain name 'localdomain',[' <info>']
181,Jun,2,10:28:13,localhost,dhclient[741], bound to 192.168.124.130 -- renewal in 780 seconds.,E25,bound to <*> -- renewal in <*> seconds.,[]
182,Jun,2,10:28:13,localhost,dbus[583], [system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service',E9,[system] Activating via systemd: service <*> <*>,[]
183,Jun,2,10:28:13,localhost,dbus[583], [system] Successfully activated service 'org.freedesktop.nm_dispatcher',E10,[system] Successfully activated service <*>,[]
184,Jun,2,10:28:13,localhost,nm-dispatcher, Dispatching action 'dhcp4-change' for eno16777984,E26,Dispatching action <*> for eno16777984,[]
185,Jun,2,10:28:51,localhost,dnf, cachedir: /var/cache/dnf/x86_64/21,E27,cachedir: /var/cache/dnf/x86_64/21,[]
186,Jun,2,10:28:52,localhost,dnf," Loaded plugins: noroot, protected_packages, download, Query, generate_completion_cache, debuginfo-install, builddep, copr, playground, kickstart",E28,"Loaded plugins: noroot, protected_packages, download, Query, generate_completion_cache, debuginfo-install, builddep, copr, playground, kickstart",[]
187,Jun,2,10:28:52,localhost,dnf, DNF version: 0.6.1,E29,DNF version: 0.6.1,[]
188,Jun,2,10:28:52,localhost,dnf, 为元数据文件生成缓存文件。,E30,为元数据文件生成缓存文件。,[]
189,Jun,2,10:28:52,localhost,dnf, 元数据缓存近期已刷新。,E31,元数据缓存近期已刷新。,[]
190,Jun,2,10:33:43,localhost,kernel, [ 8125.201002] capability: warning: `VirtualBox' uses 32-bit capabilities (legacy support in use),E39,[ 8125.201002] capability: warning: `VirtualBox' uses 32-bit capabilities (legacy support in use),[]
191,Jun,2,10:33:43,localhost,kernel, capability: warning: `VirtualBox' uses 32-bit capabilities (legacy support in use),E40,capability: warning: `VirtualBox' uses 32-bit capabilities (legacy support in use),[]
192,Jun,2,10:41:03,localhost,dbus[583], [system] Activating via systemd: service name='net.reactivated.Fprint' unit='fprintd.service',E9,[system] Activating via systemd: service <*> <*>,[]
193,Jun,2,10:41:03,localhost,dbus[583], [system] Successfully activated service 'net.reactivated.Fprint',E10,[system] Successfully activated service <*>,[]
194,Jun,2,10:41:03,localhost,fprintd, Launching FprintObject,E11,Launching FprintObject,[]
195,Jun,2,10:41:03,localhost,fprintd, ** Message: D-Bus service launched with name: net.reactivated.Fprint,E12,** Message: D-Bus service launched with name: net.reactivated.Fprint,[]
